Antibiotic,Antibiotic_Key,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Test_Samples
Ampicillin,ampicillin,Logistic Regression,0.7758,0.4089,0.7214,0.5219,0.8348,6178
Ampicillin,ampicillin,Random Forest,0.8195,0.4769,0.6594,0.5535,0.8489,6178
Ampicillin,ampicillin,Gradient Boosting,0.7985,0.4429,0.729,0.551,0.8542,6178
Ampicillin,ampicillin,Tabular Transformer,0.8046,0.451,0.6985,0.5481,0.8513,6178
Tetracycline,tetracycline,Logistic Regression,0.7136,0.4301,0.7684,0.5515,0.7984,7951
Tetracycline,tetracycline,Random Forest,0.7535,0.4754,0.7333,0.5769,0.8122,7951
Tetracycline,tetracycline,Gradient Boosting,0.7446,0.4653,0.77,0.5801,0.8218,7951
Tetracycline,tetracycline,Tabular Transformer,0.7283,0.4471,0.7832,0.5692,0.8155,7951
Ciprofloxacin,ciprofloxacin,Logistic Regression,0.7952,0.2359,0.9449,0.3775,0.904,7731
Ciprofloxacin,ciprofloxacin,Random Forest,0.807,0.2443,0.9252,0.3865,0.9011,7731
Ciprofloxacin,ciprofloxacin,Gradient Boosting,0.799,0.2395,0.9469,0.3824,0.9074,7731
Ciprofloxacin,ciprofloxacin,Tabular Transformer,0.787,0.2305,0.9587,0.3716,0.905,7731
Streptomycin,streptomycin,Logistic Regression,0.7978,0.4865,0.7485,0.5897,0.8632,6188
Streptomycin,streptomycin,Random Forest,0.8399,0.5723,0.6919,0.6265,0.8756,6188
Streptomycin,streptomycin,Gradient Boosting,0.826,0.5376,0.7386,0.6222,0.8825,6188
Streptomycin,streptomycin,Tabular Transformer,0.7995,0.4896,0.7802,0.6016,0.8773,6188
Gentamicin,gentamicin,Logistic Regression,0.7062,0.0301,0.7157,0.0577,0.8032,8117
Gentamicin,gentamicin,Random Forest,0.7818,0.0447,0.8039,0.0848,0.892,8117
Gentamicin,gentamicin,Gradient Boosting,0.7812,0.0421,0.7549,0.0798,0.8595,8117
Gentamicin,gentamicin,Tabular Transformer,0.6687,0.0281,0.7549,0.0542,0.791,8117
Nalidixic Acid,nalidixic_acid,Logistic Regression,0.7749,0.3214,0.8874,0.4719,0.8885,8153
Nalidixic Acid,nalidixic_acid,Random Forest,0.7901,0.3371,0.881,0.4876,0.9059,8153
Nalidixic Acid,nalidixic_acid,Gradient Boosting,0.7818,0.3277,0.8799,0.4775,0.899,8153
Nalidixic Acid,nalidixic_acid,Tabular Transformer,0.7824,0.3289,0.8842,0.4795,0.8951,8153
